Athlete,Year,Event,Event Type,Final/Heat,Country,Age,gender,Rank,Lane,100m,100m CT,RT
Category_7,19,Category_8,World Cup,H,Category_7,15.792,m,33.517,2.143,26.848,Category_6,0.612
Category_4,29,Category_5,Junior,F,Category_3,19.649,m,0.138,3.42,25.112,Category_2,0.739
Category_8,21,Category_4,Series,F,Category_3,25.558,m,27.128,3.955,26.655,Category_1,0.679
Category_5,21,Category_7,Junior,SF,Category_3,23.068,m,9.439,9.126,26.955,Category_4,0.702
Category_7,32,Category_7,Junior,F,Category_4,25.121,m,41.167,9.969,25.782,Category_6,0.679
Category_3,30,Category_9,Junior,H,Category_6,27.793,m,68.448,1.961,28.877,Category_9,0.667
Category_7,34,Category_9,Series,F,Category_5,23.152,m,1.568,-0.637,24.496,Category_5,0.651
Category_8,23,Category_5,Olympic,H,Category_8,15.329,m,37.036,3.36,25.764,Category_7,0.658
Category_5,33,Category_8,Series,H,Category_5,22.897,m,36.515,4.683,26.125,Category_6,0.545
Category_4,29,Category_1,Olympic,F,Category_5,19.447,m,-28.906,4.672,29.363,Category_6,0.69
Category_8,22,Category_9,Series,H,Category_2,15.08,m,56.386,4.567,26.909,Category_9,0.762
Category_8,34,Category_8,Series,H,Category_5,24.123,m,92.666,6.785,26.804,Category_5,0.627
Category_3,18,Category_6,25m,H,Category_7,25.395,m,36.487,3.782,28.741,Category_2,0.599
Category_6,27,Category_3,Olympic,H,Category_2,20.033,m,71.485,5.3,25.702,Category_8,0.735
Category_5,32,Category_3,25m,SF,Category_6,21.747,m,-3.409,6.363,28.751,Category_3,0.681
Category_2,28,Category_8,Youth Olympic,F,Category_7,11.845,m,11.941,5.315,27.709,Category_9,0.705
Category_8,30,Category_5,25m,SF,Category_5,25.071,m,34.574,6.44,29.542,Category_5,0.687
Category_6,22,Category_7,Junior,H,Category_9,23.703,m,8.076,0.565,26.014,Category_1,0.623
Category_2,18,Category_5,World Championships,F,Category_4,21.456,m,33.624,5.057,26.199,Category_4,0.705
Category_5,29,Category_8,World Championships,H,Category_1,15.239,m,61.279,5.341,27.152,Category_9,0.642
Category_1,28,Category_4,World Cup,F,Category_8,13.617,m,7.234,4.366,26.709,Category_1,0.627
Category_6,34,Category_2,World Cup,SF,Category_8,28.807,m,62.543,3.301,28.516,Category_8,0.693
Category_9,21,Category_3,25m,F,Category_7,16.285,m,-22.568,5.911,26.369,Category_8,0.672
Category_1,32,Category_8,Series,H,Category_8,20.976,m,16.238,5.077,24.528,Category_9,0.683
Category_3,26,Category_7,Series,F,Category_2,16.413,m,26.891,4.645,29.797,Category_9,0.681
Category_7,29,Category_2,World Championships,F,Category_3,10.95,m,5.976,3.965,31.02,Category_6,0.702
Category_4,22,Category_6,Junior,SF,Category_9,22.275,m,16.638,4.062,23.421,Category_5,0.723
Category_9,27,Category_9,Olympic,H,Category_1,22.92,m,72.531,2.888,27.889,Category_7,0.674
Category_3,34,Category_4,Junior,F,Category_8,13.516,m,68.056,3.602,28.472,Category_9,0.729
Category_5,22,Category_9,Junior,SF,Category_8,25.007,m,53.161,2.46,27.372,Category_5,0.715
Category_3,33,Category_2,25m,F,Category_7,18.242,m,62.363,3.82,30.275,Category_3,0.698
Category_7,24,Category_2,25m,H,Category_5,15.942,m,14.76,5.672,23.914,Category_9,0.639
